"Sym_A","Sym_B","PPI score"
"MMP14","SDC1","0.9960"
"BUB1B","CENPF","0.9960"
"CAV1","TGFB1","0.9960"
"CDC6","CHEK1","0.9960"
"FGF13","SCN8A","0.9959"
"BIRC5","CDK2","0.9959"
"STX1B","VAMP2","0.9959"
"EGFR","PTK2B","0.9959"
"DLG4","KCNA1","0.9958"
"APOBEC3F","APOBEC3G","0.9956"
"PLK1","UBE2C","0.9956"
"AURKB","NCAPG","0.9956"
"FN1","MYC","0.9955"
"CIT","DLG4","0.9955"
"PRKCB","NCF1","0.9954"
"TGFBI","COL1A2","0.9953"
"BTK","PIP5K1B","0.9952"
"CDK1","PLK1","0.9952"
"ERBB4","TAB2","0.9952"
"AR","KIF1A","0.9951"
"SNRPN","SH3GL3","0.9951"
"CCNB1","DLGAP5","0.9950"
"CDCA8","NDC80","0.9950"
"C3AR1","C3","0.9950"
"CDK4","CDKN2D","0.9950"
"CDC20","NDC80","0.9950"
"AR","TP53","0.9949"
"CENPA","NDC80","0.9949"
"CENPF","SNAP25","0.9948"
"CACNB3","SYT1","0.9948"
"ACTA1","BTK","0.9948"
"MYC","PLK1","0.9948"
"EGFR","PLAUR","0.9948"
"DLG4","FZD2","0.9947"
"COL1A2","BGN","0.9947"
"CACNB4","SYT1","0.9947"
"NAPB","STX1B","0.9947"
"COL4A1","SMAD1","0.9947"
"TAC1","TAC3","0.9946"
"CAMK4","CAMKK1","0.9946"
"HLA-DRA","CD74","0.9946"
"CHEK1","RAD51","0.9946"
"CDC6","PLK1","0.9946"
"BTK","EEF1A2","0.9945"
"ACTC1","KLHL2","0.9945"
"HLA-DQB1","CD74","0.9944"
"NDC80","PLK1","0.9944"
"NEFH","NEFL","0.9944"
"NDUFA9","NDUFS7","0.9942"
"CDT1","RRM2","0.9942"
"NDC80","TTK","0.9942"
"MMP9","TGFB1","0.9942"
"CAMK4","CAMKK2","0.9942"
"GABBR1","GABBR2","0.9941"
"MAP1A","RAPGEF3","0.9941"
"CHEK2","PLK1","0.9941"
"CCNA2","ORC1","0.9941"
"CDCA8","CENPF","0.9940"
"CPLX1","VAMP2","0.9940"
"CDCA8","NUF2","0.9940"
"CPLX1","SYT1","0.9940"
"TP53","PLK1","0.9940"
"CDK2","CHEK1","0.9940"
"PRKCE","VIM","0.9940"
"CD4","HLA-DQA2","0.9940"
"GNAO1","RGS7","0.9940"
"CDT1","DTL","0.9940"
"DAB1","RELN","0.9940"
"CDK1","KIF23","0.9940"
"CCL5","CXCL10","0.9940"
"CCL5","IGFBP7","0.9940"
"CDC45","CDK1","0.9940"
"BIRC5","BUB1","0.9940"
"BUB1B","NUF2","0.9940"
"BIRC5","CENPH","0.9940"
"ANK3","HOOK1","0.9940"
"ANKS1B","EGFR","0.9940"
"CDC6","FBXO5","0.9940"
"ETV1","KCNA2","0.9939"
"NEK2","PLK4","0.9938"
"SNCA","TPPP","0.9938"
"CELF3","RBFOX1","0.9938"
"GRIA2","GRIP2","0.9937"
"RYR1","S100A1","0.9937"
"CDC20","TK1","0.9937"
"BIRC5","PRC1","0.9937"
"NEFL","VIM","0.9937"
"NEFH","NEFM","0.9936"
"CCL2","CXCR4","0.9936"
"BCL11B","CHD4","0.9935"
"CCL4","CXCR4","0.9935"
"EZH2","UHRF1","0.9934"
"PPP3CA","PSMA6","0.9934"
"PTK2B","SOCS3","0.9934"
"PTK2B","SOCS2","0.9934"
"BUB1B","CCNB1","0.9934"
"ATP1B1","NDRG2","0.9934"
"CCNB1","CDC6","0.9933"
"LY96","TLR2","0.9933"
"PTK2B","SYK","0.9933"
"TK1","NGFR","0.9933"
"MMP9","TIMP1","0.9933"
"CCNB1","PLK1","0.9932"
"CD74","MIF","0.9932"
"TLR1","TLR2","0.9932"
"NID1","HSPG2","0.9932"
"CAV1","DNM1","0.9932"
"SYK","TNFRSF1A","0.9931"
"CENPF","KIF18A","0.9931"
"C1QA","CD93","0.9931"
"CCNA2","TP53","0.9931"
"HMMR","TPX2","0.9930"
"CENPF","KIF2C","0.9930"
"CENPF","NDC80","0.9930"
"CENPA","NUF2","0.9930"
"CDCA8","BUB1B","0.9930"
"KIF2C","NDC80","0.9930"
"AURKB","SKA1","0.9930"
"CDT1","MCM5","0.9930"
"PCNA","RRM2","0.9930"
"CDK1","PTTG1","0.9930"
"CDK1","TYMS","0.9930"
"CDC45","GINS1","0.9930"
"CDC45","RRM2","0.9930"
"BIRC5","BUB1B","0.9930"
"BUB1B","NDC80","0.9930"
"CCNA1","CCNB1","0.9929"
"CCNB2","CDC25A","0.9929"
"IFI16","TP53","0.9929"
"LRCH4","MDFI","0.9929"
"LYZ","LTF","0.9928"
"CDK2","CHEK2","0.9928"
"HCLS1","SYK","0.9928"
"CCNB2","FOXM1","0.9928"
"C4B","MASP1","0.9927"
"IGFBP2","IGF2","0.9927"
"SST","SSTR2","0.9927"
"PSMA6","PSMB8","0.9926"
"PLK1","PLK4","0.9925"
"CCL3","CCL4","0.9925"
"CDK1","EGFR","0.9925"
"KCNQ3","KCNQ4","0.9925"
"CAMK4","NOS1","0.9925"
"RYR2","RYR3","0.9925"
"CCNA2","MYBL2","0.9925"
"KCNAB2","PRKCZ","0.9925"
"CDK4","TK1","0.9924"
"NCF2","RAC2","0.9923"
"MYC","PCBP1","0.9923"
"CCR5","CD4","0.9923"
"EGFR","ERBB3","0.9923"
"RYR1","RYR2","0.9922"
"CCNA2","PRC1","0.9922"
"SYK","PTPN6","0.9921"
"DLG4","GRIN2A","0.9921"
"TP53","PTTG1","0.9921"
"KIF20A","MELK","0.9921"
"CCNA1","CDC6","0.9920"
"CENPF","NUF2","0.9920"
"MCM5","GINS1","0.9920"
"CDCA8","BUB1","0.9920"
"MAPK8IP3","TLR2","0.9920"
"CDC25A","PSMB9","0.9920"
"AURKB","CDK1","0.9920"
"TK1","TYMS","0.9920"
"CDC20","CENPF","0.9920"
"HLA-G","LILRB1","0.9920"
"BUB1B","NEK2","0.9920"
"TGFB1","TIMP1","0.9920"
"CDC6","RRM2","0.9920"
"ARPC1A","CORO6","0.9920"
"CHRNA4","CHRNB2","0.9919"
"DLG2","DLG4","0.9919"
"AK1","ADSL","0.9918"
"ITGB2","PRKCB","0.9918"
"EZH2","TK1","0.9917"
"ELN","MFAP2","0.9917"
"ANXA1","S100A11","0.9917"
"MTUS2","PSMA1","0.9917"
"COL4A1","FN1","0.9917"
"ADCYAP1","VIPR1","0.9915"
"GINS1","GINS2","0.9915"
"SIGLEC7","SOCS3","0.9915"
"CDC20","PTTG1","0.9914"
"CDC45","CDK4","0.9914"
"KIF23","PLK1","0.9914"
"SKA1","SPC24","0.9913"
"ASPM","KIF11","0.9913"
"CDK4","S100A4","0.9913"
"CNTNAP2","KCNA2","0.9913"
"EGFR","VEGFA","0.9913"
"CCNB1","CHEK1","0.9912"
"MBP","MELK","0.9912"
"CCNB2","CDC6","0.9912"
"CDKN1A","VIM","0.9911"
"CDCA8","SPC25","0.9910"
"NUF2","TTK","0.9910"
"PSD","PSD3","0.9910"
"CDC20","NUF2","0.9910"
"CDC45","TYMS","0.9910"
"KIF11","PRC1","0.9910"
"C1QB","C1QC","0.9909"
"HLA-C","B2M","0.9908"
"ASPM","CCNA2","0.9908"
"AURKB","KIF11","0.9908"
"ACTA1","VIM","0.9908"
"CCR5","CXCL10","0.9908"
"COL1A1","FN1","0.9908"
"CD14","TLR3","0.9907"
"AURKB","CCNB1","0.9907"
"ABCC8","RAPGEF4","0.9907"
"CDCA8","CCNA2","0.9906"
"HLA-DPA1","CD74","0.9906"
"MAD2L1","ZWINT","0.9906"
"ANXA2","S100A10","0.9905"
"EFNA3","EPHA7","0.9905"
"DLG2","ERBB4","0.9905"
"POLD4","PCNA","0.9905"
"FLNC","SGCD","0.9905"
"CDKN1A","TK1","0.9905"
"TGFB1","THBS1","0.9905"
"DGKE","NUF2","0.9905"
"CCNB1","PRC1","0.9904"
"CCNB1","NDC80","0.9904"
"AURKB","FOXM1","0.9904"
"CCNA2","MAD2L1","0.9904"
"CMTM3","RABAC1","0.9903"
"AARSD1","ARPC1A","0.9903"
"ASPM","CCNB1","0.9903"
"ATP2B2","DLG2","0.9903"
"PCNA","TIMELESS","0.9903"
"MMP17","MMP2","0.9903"
"FOSL1","MYC","0.9903"
"KIF4A","PLK1","0.9903"
"HLA-DQA1","CD74","0.9902"
"PLK1","SRPX","0.9902"
"ATP2B2","DLG4","0.9901"
"CCNB2","CDC25C","0.9901"
"SV2C","SYT1","0.9901"
"PDIA2","SST","0.9900"
"HLA-A","B2M","0.9900"
"CENPF","ZWINT","0.9900"
"MCM5","GINS2","0.9900"
"CENPK","NUF2","0.9900"
"KIF18A","NUF2","0.9900"
"HLA-B","LILRB1","0.9900"
"CDC25A","PSD","0.9900"
"CDC25A","PSMB8","0.9900"
"CDC25A","PSD3","0.9900"
"FANCD2","TNFRSF1A","0.9900"
"AURKB","CENPF","0.9900"
"SMAD1","TNNT1","0.9900"
"CD63","HLA-DMB","0.9900"
"STXBP1","VAMP2","0.9900"
"GTF2I","SNRPN","0.9900"
"HSPB2","SNCA","0.9900"
"ACTA1","SNCA","0.9900"
"CDT1","TYMS","0.9900"
"ORC1","PSMB8","0.9900"
"ORC1","PSMA1","0.9900"
"ORC1","PSD3","0.9900"
"ORC1","PSMA6","0.9900"
"ORC1","PSD","0.9900"
"ORC1","PSMA2","0.9900"
"ORC1","PSMB9","0.9900"
"BUB1","KIF18A","0.9900"
"COL1A1","SYK","0.9900"
"DTYMK","TYMS","0.9900"
"BIRC5","NUF2","0.9900"
"COL1A2","SYK","0.9900"
"BIRC5","NDC80","0.9900"
"CTRL","ORC1","0.9900"
"CTRL","CDC25A","0.9900"
"BUB1B","SPC25","0.9900"
"CAV1","SNCA","0.9900"
"TGFB1","TGFB2","0.9900"
"DYNC1I1","EMILIN1","0.9900"
"TNK2","KCNA5","0.9900"
"CDC6","TYMS","0.9900"
"CCNA1","ORC1","0.9899"
"NPFF","NPY","0.9899"
"CDCP1","ST14","0.9899"
"CCNA1","CKS2","0.9898"
"AK1","RRM2","0.9898"
"CCNB1","ORC1","0.9898"
"CDC25A","PSMA2","0.9898"
"CDC25A","PSMA6","0.9898"
"CDC25A","PSMA1","0.9898"
"CCNA1","CDC25C","0.9896"
"CCNA1","WEE1","0.9896"
"CDC25A","GINS1","0.9896"
"CD22","PTPN6","0.9896"
"CCNB2","WEE1","0.9896"
"ORC1","GINS1","0.9896"
"KIF11","PLK1","0.9896"
"ACTC1","MYC","0.9896"
"COL4A2","FN1","0.9895"
"BSN","GRIN1","0.9894"
"RAC2","SMAD1","0.9894"
"EGFR","PTPN6","0.9894"
"C1QA","C4A","0.9893"
"CENPA","KIF23","0.9892"
"MYC","SERPINH1","0.9892"
"CDC20","KIF11","0.9892"
"ITGB2","VCAM1","0.9892"
"KIF11","MAD2L1","0.9892"
"CCL4","IL1B","0.9891"
"CDKN1A","NGFR","0.9891"
"NEK2","UBE2C","0.9890"
"CENPA","ZWINT","0.9890"
"AURKB","UBE2C","0.9890"
"CDC45","PCNA","0.9890"
"BIRC5","CENPF","0.9890"
"EZH2","MYC","0.9889"
"CAMK1","SYN1","0.9889"
"BTK","TP53","0.9889"
"CTSS","CD74","0.9888"
"FN1","TNFRSF11B","0.9887"
"CDKN1A","TP53","0.9887"
"CCL2","CCR1","0.9887"
"VIPR1","VIP","0.9887"
"HLA-DPB1","CD74","0.9886"
"GLRA2","PSD","0.9885"
"NOXA1","RAC2","0.9885"
"PHYHIP","S100A13","0.9885"
"GNB5","PSD","0.9885"
"KIF11","KIF15","0.9885"
"IGF2BP3","MYC","0.9884"
"ERC2","UNC13A","0.9884"
"SPARC","THBS1","0.9884"
"MYC","MRPL53","0.9884"
"MYC","NRXN3","0.9884"
"MYC","SEC31B","0.9884"
"MYC","RIMS2","0.9884"
"VCAM1","VEGFA","0.9884"
"CDC20","NEK2","0.9884"
"ACTC1","SCIN","0.9884"
"FCGR2B","PTPN6","0.9883"
"DNM3","SH3GL2","0.9883"
"MCF2L","RABAC1","0.9883"
"RAC2","CHGB","0.9883"
"CCDC85A","STMN2","0.9882"
"CMTM3","MEST","0.9882"
"CENPA","SHCBP1","0.9882"
"HLA-DPA1","HLA-DPB1","0.9882"
"CCDC85B","FBF1","0.9882"
"CCDC85B","RALYL","0.9882"
"MELK","TOP2A","0.9882"
"SH3GL2","TYMS","0.9882"
"CAMK2A","CAMK2B","0.9882"
"BEX2","CCDC85B","0.9882"
"GABBR2","SH3GL3","0.9882"
"MCM5","NUDT3","0.9881"
"STX1A","SYT7","0.9881"
"OSM","TNNT1","0.9881"
"BSN","RAB3A","0.9881"
"CDCA8","SPC24","0.9880"
"TP53","S100A6","0.9880"
"KIF18A","NDC80","0.9880"
"AURKB","SMC4","0.9880"
"AURKB","TP53","0.9880"
"DLGAP3","SHANK2","0.9880"
"CDK1","KIF20A","0.9880"
"CDK3","CDKN1A","0.9880"
"BUB1","CENPH","0.9880"
"CDC20","CENPM","0.9880"
"CDC6","TOP2A","0.9880"
"CDC6","CDC25A","0.9880"
"AR","CDC25A","0.9879"
"CCNA2","TPX2","0.9879"
"CENPK","CENPM","0.9878"
"SCN1B","SCN2B","0.9878"
"CDCA8","TPX2","0.9877"
"COL1A2","FN1","0.9877"
"EGFR","SOCS3","0.9877"
"RELL1","RELL2","0.9876"
"KIF2C","MTUS2","0.9876"
"CTRL","PSMB8","0.9876"
"SNAP25","VAMP8","0.9874"
"CDK4","CDKN2C","0.9873"
"FN1","TAC1","0.9873"
"COL4A2","MMP9","0.9873"
"AURKB","DTL","0.9872"
"PPP3R1","PLCB4","0.9872"
"LGALS3BP","PPIC","0.9872"
"IGFBP5","VTN","0.9872"
"ITGA5","SPP1","0.9871"
"CD4","KCNAB2","0.9871"
"FN1","MATN2","0.9871"
"MMP2","SPOCK1","0.9871"
"CENPA","PLK1","0.9870"
"PSMA1","PSMD9","0.9870"
"CENPK","NDC80","0.9870"
"BIRC5","CENPM","0.9870"
"BIRC5","ZWINT","0.9870"
"CCNA2","CCNB1","0.9870"
"CRHR1","CRH","0.9869"
"CDC25A","WEE1","0.9868"
"CDC20","TTK","0.9868"
"TNFRSF11B","THBS1","0.9868"
"NDUFS7","UQCR11","0.9866"
"CCNB2","CDK2","0.9866"
"DLGAP5","TTK","0.9866"
"BARD1","FBXO5","0.9865"
"CDK1","NCAPG","0.9865"
"CYBA","NOX4","0.9865"
"CCNA2","CDK3","0.9865"
"FN1","NID1","0.9864"
"ACTC1","PRKCE","0.9863"
"ASPM","TOP2A","0.9862"
"CDK1","CHEK1","0.9862"
"GNB5","RGS7BP","0.9862"
"CDC20","FBXO5","0.9861"
"CDC20","TPX2","0.9861"
"EZH2","MAPK8IP2","0.9860"
"ABCA2","CACNA1A","0.9860"
"CCDC85A","NEK2","0.9860"
"ANXA2","ARRB1","0.9860"
"CSNK2B","GBP2","0.9860"
"CSNK2B","ODC1","0.9860"
"ACTL6B","PLK1","0.9860"
"RPS6KA6","SPTBN4","0.9860"
"CSNK2B","KIF2C","0.9860"
"CSNK2B","GNB5","0.9860"
"RPS6KA6","MASP1","0.9860"
"ACTL6B","TK1","0.9860"
"ACTL6B","CSNK2B","0.9860"
"CSNK2B","SDHA","0.9860"
"ACTL6B","CDKN1A","0.9860"
"NEK2","SPTBN4","0.9860"
"FXYD3","NUDT3","0.9860"
"EFNA3","PRSS23","0.9860"
"RCC1","NGFR","0.9860"
"KIF5A","TK1","0.9860"
"F13A1","SH3GL2","0.9860"
"RCC1","CHGB","0.9860"
"F13A1","TK1","0.9860"
"CPNE7","CSNK2B","0.9860"
"EGR2","ACP5","0.9860"
"CDK4","SNCA","0.9860"
"AURKB","MAPRE3","0.9860"
"C7orf25","NGEF","0.9860"
"C7orf25","CRYM","0.9860"
"CDK4","NOL12","0.9860"
"C7orf25","EZH2","0.9860"
"ARRB1","EEF1A2","0.9860"
"COL11A2","TK1","0.9860"
"ARRB1","STXBP5","0.9860"
"ARRB1","KIF2C","0.9860"
"ARRB1","DGKE","0.9860"
"CYP2C8","MAST1","0.9860"
"ACTA1","ARRB1","0.9860"
"GBP2","MAPK8IP2","0.9860"
"ARRB1","CNGA3","0.9860"
"ARRB1","IGF2BP2","0.9860"
"ARRB1","TUBA4A","0.9860"
"ARRB1","TUBA1C","0.9860"
"C3","C4A","0.9860"
"CHRNA4","CSNK2B","0.9860"
"ARRB1","DGKH","0.9860"
"COL4A2","CSNK2B","0.9860"
"A1BG","TK1","0.9860"
"MAPK8IP2","KIFC2","0.9860"
"MAPK8IP2","MASP1","0.9860"
"COL4A2","TK1","0.9860"
"MAPK8IP2","VPS33B","0.9860"
"A1BG","CDKN1A","0.9860"
"ASRGL1","MAPK8IP2","0.9860"
"A1BG","SNCA","0.9860"
"TK1","NEUROD2","0.9860"
"BUB1","CENPK","0.9860"
"TK1","CHGB","0.9860"
"INA","ARRB1","0.9860"
"CCR1","CXCL10","0.9860"
"TK1","MPPED1","0.9860"
"TK1","WDR73","0.9860"
"CDC20","ZWINT","0.9860"
"BIRC5","TPX2","0.9860"
"COL1A2","COL5A2","0.9860"
"IGF2BP2","IGF2","0.9860"
"ODC1","TK1","0.9860"
"NGFR","TTR","0.9860"
"GNB5","MCM2","0.9860"
"CPNE6","TK1","0.9860"
"CPNE6","MAPK11","0.9860"
"CPNE6","TTR","0.9860"
"CDKN1A","DYNC1I1","0.9860"
"CACNA1A","HHATL","0.9860"
"CACNA1A","WBP1","0.9860"
"CDKN1A","GNB5","0.9860"
"CHGA","NEK2","0.9860"
"CDKN1A","WDR73","0.9860"
"CDKN1A","CELF3","0.9860"
"CDKN1A","F13A1","0.9860"
"CACNA1A","MATN2","0.9860"
"CDKN1A","CPNE6","0.9860"
"CACNA1A","TSPAN7","0.9860"
"CDKN1A","CHGB","0.9860"
"CACNA1A","PTGDS","0.9860"
"NPY","VIP","0.9860"
"CACNA1A","GRN","0.9860"
"SH3GL3","TNNT1","0.9860"
"CHN1","MAPK8IP2","0.9860"
"ATP1B1","EZH2","0.9860"
"ANGPT2","CSNK2B","0.9860"
"B2M","PRSS23","0.9860"
"EGFR","PLAU","0.9860"
"DYNC1I1","RUNDC3B","0.9860"
"DYNC1I1","TK1","0.9860"
"DYNC1I1","FAM83D","0.9860"
"DYNC1I1","RAP1GAP","0.9860"
"DYNC1I1","RCC1","0.9860"
"AR","SRCAP","0.9859"
"GABRA1","GABRA5","0.9859"
"CCL2","PCNA","0.9859"
"TNK2","MCF2","0.9858"
"ADRA2C","GNAO1","0.9857"
"CYP2C8","CYP3A5","0.9857"
"DLG2","GRIN1","0.9857"
"KCNB1","STX1A","0.9857"
"CYP2E1","CYP3A5","0.9857"
"ANK3","SPTBN4","0.9856"
"COL1A2","SPARC","0.9856"
"EGFR","FN1","0.9856"
"BRSK1","WEE1","0.9855"
"SYT1","SLC17A7","0.9855"
"RIMS2","RAPGEF4","0.9855"
"AURKB","BARD1","0.9854"
"PTK2B","ARHGAP5","0.9853"
"MBP","MAPK11","0.9853"
"DLG2","KCNJ4","0.9853"
"C4A","MASP1","0.9853"
"GRIN2A","RASGRF1","0.9853"
"CABLES1","CCNA1","0.9852"
"MAP1A","RAPGEF4","0.9852"
"HLA-C","B2M","0.9852"
"TP53","SERPINH1","0.9852"
"CDK2","TP53","0.9852"
"FN1","PLAU","0.9852"
"STX1A","SYT1","0.9852"
"CACNA1A","CACNB1","0.9852"
"CAV1","IGFBP3","0.9852"
"FOXM1","NEK2","0.9852"
"CACNA1C","CACNB3","0.9851"
"CCNB2","KIF11","0.9851"
"CTSS","BGLAP","0.9851"
"DNM3","SH3GL3","0.9851"
"CCNA1","CCNA2","0.9850"
"CENPF","SPC25","0.9850"
"FCER1G","TYROBP","0.9850"
"CDCA8","CDK1","0.9850"
"TP53","RPL26","0.9850"
"PRKCE","LDB3","0.9850"
"SARS2","TAGLN3","0.9850"
"CACNA1E","CACNB4","0.9850"
"HLA-DRB1","CD74","0.9850"
"TK1","DTYMK","0.9850"
"COL1A1","COL5A2","0.9850"
"CDC20","SGOL1","0.9850"
"CDC6","POLE2","0.9850"
"SERPINA1","DERL3","0.9849"
"ALDH1A1","ALDH2","0.9848"
"CDCA8","PRC1","0.9848"
"GNAO1","KLHL3","0.9848"
"EPHB4","GRIN1","0.9848"
"ADORA2A","NECAB2","0.9848"
"ACTA1","S100A1","0.9848"
"ACTA1","HCLS1","0.9848"
"COL4A2","MATN2","0.9848"
"IFNAR2","PRKCB","0.9848"
"ITPKA","CAMK2B","0.9848"
"CCL2","IL1B","0.9848"
"DUSP26","TP53","0.9848"
"ADRB1","NOS1","0.9848"
"DNM1","SNAP25","0.9848"
"CALB2","TUBA4A","0.9848"
"PRKCG","NRGN","0.9847"
"CYP2C8","CYP2E1","0.9847"
"AR","CASP1","0.9846"
"SELPLG","SNX20","0.9844"
"CD44","TP53","0.9844"
"IL1B","IL1RN","0.9844"
"DLGAP5","PLK1","0.9844"
"C1S","C4A","0.9843"
"DLG4","LRRC7","0.9843"
"NID2","HSPG2","0.9842"
"CA12","CA9","0.9841"
"CA3","CA4","0.9841"
"SNAP25","SYT3","0.9840"
"CENPF","SGOL1","0.9840"
"DTL","TP53","0.9840"
"CSF1R","IL34","0.9840"
"CENPK","SPC25","0.9840"
"KIF2C","ZWINT","0.9840"
"CDK1","MAD2L1","0.9840"
"BUB1B","CENPH","0.9840"
"NCAPG","NDC80","0.9840"
"NPY","SST","0.9840"
"CD22","SYK","0.9839"
"ACTA1","S100A4","0.9839"
"NDC80","TPX2","0.9839"
"BUB1","TPX2","0.9839"
"KIF23","TPX2","0.9839"
"CASP1","CASP4","0.9839"
"CAMK1D","CAMKK1","0.9839"
"CDCA8","KIF11","0.9838"
"CDK4","FOXM1","0.9838"
"ARRB1","EDNRA","0.9838"
"COL4A2","BGN","0.9838"
"ALDH2","CYP2E1","0.9838"
"KIF11","TPX2","0.9838"
"TP53","TAF10","0.9837"
"CHEK2","PER3","0.9837"
"FN1","POSTN","0.9836"
"C5AR1","FPR1","0.9836"
"PRKCG","LDB3","0.9835"
"TGFBI","TGFB1","0.9835"
"AR","RUNX1","0.9834"
"ASPM","NDC80","0.9834"
"BUB1","KIF23","0.9834"
"CPLX1","SLC17A7","0.9833"
"MYC","RCC1","0.9833"
"CDC20","CDK2","0.9833"
"ANK3","KCNC1","0.9833"
"CASP4","IL18","0.9832"
"CCNB1","TP73","0.9831"
"PRKCB","NRGN","0.9831"
"CDK5R1","STXBP1","0.9831"
"VAMP2","SLC17A7","0.9830"
"CENPF","SKA3","0.9830"
"CDCA8","CENPM","0.9830"
"CDCA8","ZWINT","0.9830"
"ASPM","CENPF","0.9830"
"KIF2C","SPC25","0.9830"
"AURKB","VIM","0.9830"
"AURKB","PTTG1","0.9830"
"LOXL2","LOXL3","0.9830"
"MAPK8IP2","MAPK8IP3","0.9830"
"BUB1","SKA1","0.9830"
"CA12","CA4","0.9830"
"CACNB4","CACNG3","0.9830"
"CA4","CA9","0.9830"
"CHEK1","MCM5","0.9830"
"MYH11","MYOM1","0.9830"
"DLGAP5","TPX2","0.9830"
"GDF15","TP53","0.9829"
"FPR1","SAA1","0.9829"
"HLA-A","CALR","0.9828"
"CDK1","STMN2","0.9828"
"EGFR","FGF13","0.9828"
"CISH","EGFR","0.9827"
"ASPM","NCAPG","0.9827"
"GRIN1","PPP3CA","0.9827"
"GAD2","PRKCE","0.9827"
"BUB1","MELK","0.9827"
"ACTA1","TP53","0.9826"
"CHD4","SMARCE1","0.9826"
"KIF11","NDC80","0.9826"
"TCF19","NGFR","0.9825"
"CPLX1","RAB3A","0.9825"
"DLGAP2","SHANK2","0.9825"
"CACNA1A","CSNK2B","0.9825"
"NEFL","GRIN1","0.9825"
"KLHL3","WNK2","0.9825"
"PILRB","PTPN6","0.9825"
"DOC2B","STXBP1","0.9825"
"LMNB1","VIM","0.9824"
"FANCD2","IPO4","0.9822"
"CACNB3","CACNG8","0.9822"
"PTPN6","SIGLEC10","0.9821"
"CDKN3","CDC25A","0.9821"
"RIMS1","VAMP2","0.9820"
"CENPA","SPC25","0.9820"
"ASPM","DEPDC1","0.9820"
"IL1RAP","IL1RN","0.9820"
"KIF2C","NUF2","0.9820"
"CDT1","FBXO5","0.9820"
"PDE1A","PDE1B","0.9820"
"CDK1","KIF18A","0.9820"
"CDK1","RAP1GAP","0.9820"
"DTYMK","RRM2","0.9820"
"MAD1L1","TTK","0.9820"
"DLGAP5","NDC80","0.9820"
"CD93","COL1A2","0.9819"
"CNTNAP2","EPB41L3","0.9819"
"CD44","PRKCZ","0.9818"
"RAB26","RPH3A","0.9818"
"SYT1","SYT4","0.9818"
"TGFBI","COL4A2","0.9818"
"ASNS","GLS","0.9817"
"IGF2BP3","IGF2","0.9816"
"EXO1","RAD51","0.9816"
"BTK","CAV1","0.9815"
"CD33","PTPN6","0.9815"
"PAK3","SYN1","0.9815"
"GTF2I","PRRX1","0.9814"
"BUB1","KIFC1","0.9814"
"MELK","UBE2C","0.9814"
"PSMA6","PSMB9","0.9814"
"CALR","ITGA5","0.9814"
"RAB3A","SLC17A7","0.9813"
"CDK4","PSMD9","0.9813"
"ACTA1","MAP1A","0.9813"
"FCER1G","HCLS1","0.9812"
"CD14","LGALS3BP","0.9812"
"PLK1","WEE1","0.9812"
"BIRC5","MYC","0.9812"
"RUNX1","SMAD1","0.9811"
"CNTN2","TAB2","0.9811"
"DLGAP2","NOS1","0.9811"
"GABRB2","PRKCB","0.9811"
"GNAO1","RGS14","0.9811"
"SMAD1","TGIF1","0.9811"
"CCNB2","TSPYL2","0.9811"
"ACTA1","KIF23","0.9811"
"CACNA1B","RIMS1","0.9811"
"ACTA1","ITPKA","0.9811"
"CDK1","PRKCB","0.9811"
"MMP14","SPOCK1","0.9811"
"MSN","PPM1B","0.9811"
"ADRB1","DLGAP2","0.9811"
"AR","HSPB2","0.9810"
"SERPINA1","TGFB1","0.9810"
"BCL11A","CHD4","0.9810"
"L3MBTL1","MCM2","0.9810"
"L3MBTL1","MCM5","0.9810"
"ADAP1","AP3B2","0.9810"
"L3MBTL1","PCNA","0.9810"
"KIF18A","SPC25","0.9810"
"CNTN2","MCM2","0.9810"
"ITGA5","PLP1","0.9810"
"STXBP1","TUBA4A","0.9810"
"NDUFA11","NDUFB8","0.9810"
"ACTA1","CLIC5","0.9810"
"ACTA1","SPTBN2","0.9810"
"COL4A2","OSM","0.9810"
"CENPH","CENPL","0.9810"
"CD93","COL4A2","0.9810"
"PRC1","TPX2","0.9810"
"NDC80","SGOL1","0.9810"
"STX1A","STX1B","0.9810"
"CDC45","L3MBTL1","0.9810"
"BUB1B","MAD1L1","0.9810"
"BIRC5","SPC25","0.9810"
"CCL2","CDC6","0.9810"
"CCL2","CDC45","0.9810"
"CCL2","MCM2","0.9810"
"DNM1","PTK2B","0.9810"
"CA3","CA7","0.9810"
"CCNA2","RRM2","0.9810"
"CCNA2","PSMA6","0.9810"
"ID3","NKX2-5","0.9810"
"ETV1","SPI1","0.9808"
"PSMA1","PSMB9","0.9808"
"PRKCB","LDB3","0.9808"
"FERMT3","VCAM1","0.9807"
"ANK1","SPTBN2","0.9805"
"AURKB","CENPA","0.9805"
"ARRB1","F2R","0.9805"
"FN1","KPNA2","0.9805"
"CDK1","MKI67","0.9805"
"CDCA7","MYC","0.9804"
"PSMA1","PSMB8","0.9804"
"MICAL3","RAD51","0.9804"
"DLG2","GRIN2A","0.9804"
"DLG4","NOS1","0.9803"
"MELK","TTK","0.9803"
"ACSL6","CPT1B","0.9802"
"BUB1B","CCNA2","0.9802"
"CENPF","FOXM1","0.9801"
"TP53","SERPINE1","0.9800"
"ASPM","MELK","0.9800"
"CACNB1","CACNG3","0.9800"
